"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
913,"NCT02328404","The Effect of Vitamin D Supplementation Among Overweight Jordanian Women With Polycystic Ovary Syndrome (PCOS)",,"Completed","Has Results","Polycystic Ovary Syndrome|Hypovitaminosis D","Drug: 50,000 IU vitamin D3|Drug: Placebo","Ultrasound Examination of Number of Follicles and Ovarian Volume|Menstrual Regularity|Hirsutism Score|Serum Progesterone Level|Total Testosterone Level|Free Androgen Index|Sex Hormone Binding Globulin Concentration|Serum 25-Hydroxy Vitamin D3 Level|Serum Chromium Concentration|Serum Glucose Concentration in Oral Glucose Tolerance Test 1st hr After Treatment|Body Mass Index|Serum Parathyroid Hormone Concentration|Serum Calcium Concentration|Serum Phosphorous Concentration|Serum C-Reactive Protien Concentration","Hayat Pharmaceutical Co. PLC|Jordan University of Science and Technology","Female","18 Years to 49 Years   (Adult)","Phase 3","60","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","VitD31.0|2013-003353-22","February 2014","September 2014","December 2014","December 31, 2014","April 17, 2015","August 4, 2016","King Abdullah University Hospital, Irbid, Jordan",,"https://ClinicalTrials.gov/show/NCT02328404"
914,"NCT02327013","Investigating the Effect of Vortioxetine in Adult ADHD Patients",,"Completed","Has Results","Attention Deficit Hyperactivity Disorder","Drug: vortioxetine 10 mg tablet|Drug: vortioxetine 20 mg tablet|Other: Placebo tablet","Change in ADHD Investigator Symptom Rating Scale (AISRS) Total Score|Inattention/Meta-cognition: Change in Behavior Rating Inventory of Executive Function - Adult Version (BRIEF-A) Using Metacognition Index|Cognitive Function/Global Executive Function: Change in BRIEF-A Using the Global Executive Composite Score|Overall Functioning: Change in Sheehan Disability Scale (SDS) Total Score|Productivity: Change in Work Limitations Questionnaire (WLQ) Productivity Loss Score|Change in AISRS Inattention Sub-score|Change AISRS Hyperactivity/Impulsivity Sub-score|Percentage of Patients Responding (Response Defined as 30% or Greater Reduction From Baseline in AISRS Total Score)|Change in Adult ADHD Self-Report Scale (ASRS) Total Score|Change in Clinical Global Impression - Severity of Illness (CGI-S) Score|Clinical Global Impression - Global Improvement (CGI-I) Score|Response (Defined as a CGI-I Score of 1 or 2), Stage 1|Change in BRIEF-A Using the Behavioural Regulation Index|Change in BRIEF-A Subscales - Inhibit|Change BRIEF-A Subscales - Initiate|Change in BRIEF-A Subscales - Organization of Materials|Change in BRIEF-A Subscales - Planning/Organize|Change in BRIEF-A Subscales - Shift|Change in BRIEF-A Subscales - Self Monitor|Change in BRIEF-A Subscales - Task Monitor|Change in BRIEF-A Subscales - Working Memory|Change in BRIEF-A Subscales - Emotional Control|Change in Perceived Deficits Questionnaire - Depression (PDQ-D) Total Score|Change in PDQ-D Subscales - Attention and Concentration Sub-score|Change in PDQ-D Sub-scales - Retrospective Memory Sub-score|Change in PDQ-D Sub-scales - Prospective Memory Sub-score|Change in PDQ-D Sub-scales - Planning and Organisation Sub-score|Change in SDS Item Scores - Family|Change in SDS Item Scores - Work|Change in SDS Item Scores - Social Life|Change in SDS Item Scores - Number of Days Lost|Change in SDS Item Scores - Number of Underproductive Days|Change in WLQ Using the Global Productivity Index|Change in WLQ Domain Scores - Limitations Handling Time|Change in WLQ Domain Scores - Mental-Interpersonal Work Demands|Change in WLQ Domain Scores - Physical Demands|Change in WLQ Domain Scores - Output Demands|Change in Adult ADHD Quality of Life Measure (AAQoL) Total Score|Change in AAQoL Subscales - Life Productivity Sub-score|Change in AAQoL Subscales - Psychological Health Sub-score|Change in AAQoL Subscales - Life Outlook Sub-score|Change in AAQoL Subscales - Relationships Sub-score","H. Lundbeck A/S","All","18 Years to 55 Years   (Adult)","Phase 2","227","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","15996A","December 2014","September 2016","September 2016","December 30, 2014","January 31, 2018","March 7, 2018","US015, Beverly Hills, California, United States|US002, Garden Grove, California, United States|US004, National City, California, United States|US013, Bradenton, Florida, United States|US006, Gainesville, Florida, United States|US010, Alpharetta, Georgia, United States|US014, Libertyville, Illinois, United States|US011, Baltimore, Maryland, United States|US009, Boston, Massachusetts, United States|US016, Las Vegas, Nevada, United States|US005, New York, New York, United States|US008, New York, New York, United States|US001, Austin, Texas, United States|US007, Herndon, Virginia, United States|US003, Bellevue, Washington, United States",,"https://ClinicalTrials.gov/show/NCT02327013"
915,"NCT02326233","Pharmacokinetics, Safety, and Tolerability Study of the Pen and PFS of SB5 in Healthy Subjects",,"Completed","Has Results","Healthy","Biological: Pen of SB5|Biological: PFS of SB5","Area Under the Concentration-time Curve From Time Zero to Infinity (AUCinf)|Area Under the Concentration-time Curve From Time Zero to the Last Quantifiable Concentration (AUClast)|Maximum Serum Concentration (Cmax)|Time to Reach Cmax (Tmax)","Samsung Bioepis Co., Ltd.","All","18 Years to 55 Years   (Adult)","Phase 1","190","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","SB5-G12-NHV|2014-005178-12","June 2015","September 2015","September 2015","December 29, 2014","March 18, 2019","March 18, 2019","Samsung Investigational Site, Antwerpen, Belgium|Samsung Investigational Site, Auckland, New Zealand",,"https://ClinicalTrials.gov/show/NCT02326233"
916,"NCT02325713","Relative Bioavailability Trial of Oral Dispersible Praziquantel Tablets in Healthy Volunteers",,"Completed","Has Results","Healthy","Drug: Oral dispersible tablet of praziquantel (ODT-PZQ)|Drug: Cysticide|Drug: ODT-PZQ","Area Under the Plasma Concentration-time Curve (AUC) From Time Zero to Infinity (AUC0-inf) Adjusted for the Actual Administered Dose (AUC0-inf, Adj) of L-Praziquantel (L-PZQ)|Maximum Observed Concentration in Plasma (Cmax) Adjusted for the Actual Administered Dose (Cmax, Adj) of L-PZQ, D-PZQ and Racemate PZQ|Time to Reach Maximum Plasma Concentration (Tmax) of L-PZQ, D-PZQ, and Racemate PZQ|Apparent Terminal Half-life (t1/2) of L-PZQ, D-PZQ, and Racemate PZQ|Time Prior to the First Measurable (Non-zero) Concentration (Tlag) of L-PZQ, D-PZQ, and Racemate PZQ|AUC From Time Zero to the Last Sampling Time at Which the Concentration is at or Above the Lower Limit of Quantification (AUC0-t) Adjusted for the Actual Administered Dose (AUC0-t, Adj) of L-PZQ, D-PZQ, and Racemate PZQ|Extrapolated Area Under the Plasma Concentration Curve From Time Tlast to Infinity (AUCextra) of L-PZQ, D-PZQ, and Racemate PZQ|Apparent Terminal Elimination Rate Constant (λz) of L-PZQ, D-PZQ, and Racemate PZQ|Relative Bioavailability (Frel) of L-PZQ, D-PZQ, and Racemate PZQ|Apparent Total Body Clearance of Drug From Plasma (CL/f) of L-PZQ, D-PZQ, and Racemate PZQ|Apparent Volume of Distribution During the Terminal Phase (Vz/f) of L-PZQ, D-PZQ, and Racemate PZQ|Area Under the Plasma Concentration-Time Curve (AUC) From Time Zero to Infinity (AUC0-inf) Adjusted for the Actual Administered Dose (AUC0-inf, Adj) of D-PZQ and Racemate PZQ|Number of Subjects With Treatment-emergent Adverse (TEAEs), Serious TEAEs, TEAEs Leading to Discontinuation|Palatability Assessment Based on Visual Analog Scale (VAS) Score|Number of Subjects With Clinically Significant Change From Baseline in Vital Signs, Physical Examinations, Electrocardiogram (ECG) and Laboratory Parameters","Merck KGaA, Darmstadt, Germany","Male","18 Years to 55 Years   (Adult)","Phase 1","32","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","200585-001","January 2015","January 2015","March 2015","December 25, 2014","February 23, 2017","February 23, 2017","Please contact the Merck KGaA Communication Center, Darmstadt, Germany",,"https://ClinicalTrials.gov/show/NCT02325713"
917,"NCT02323646","Safety and Efficacy of Telapristone Acetate (Proellex®) Administered Vaginally for the Treatment of Uterine Fibroids",,"Completed","Has Results","Uterine Fibroids","Drug: Placebo|Drug: Telapristone Acetate","Percentage of Participants in Amenorrhea at the End of Treatment Course 1|Percentage of Participants in Amenorrhea at the End of Treatment Course 2|Percentage Change in PBAC Scores From Baseline to the End of Treatment Courses 1 and 2|Percentage Change in Transformed Total Uterine Fibroid System Quality of Life Survey System Severity (UFS-SSS) Score From Baseline to the End of Treatment Courses 1 and 2 and the Course 2 Week 24 Follow-up Visit|Percentage Change in the Individual UFS-SSS Subscale Score Question 1 From Baseline to the End of Treatment Courses 1 and 2 and the Course 2 Week 24 Follow-up Visit|Percentage Change in the Individual UFS-SSS Subscale Score Question 2 From Baseline to the End of Treatment Courses 1 and 2 and the Course 2 Week 24 Follow-up Visit|Percentage Change in the Individual UFS-SSS Subscale Score Question 3 From Baseline to the End of Treatment Courses 1 and 2 and the Course 2 Week 24 Follow-up Visit|Percentage Change in the Individual UFS-SSS Subscale Score Question 4 From Baseline to the End of Treatment Courses 1 and 2 and the Course 2 Week 24 Follow-up Visit|Percentage Change in the Individual UFS-SSS Subscale Score Question 5 From Baseline to the End of Treatment Courses 1 and 2 and the Course 2 Week 24 Follow-up Visit|Percentage Change in the Individual UFS-SSS Subscale Score Question 6 From Baseline to the End of Treatment Courses 1 and 2 and the Course 2 Week 24 Follow-up Visit|Percentage Change in the Individual UFS-SSS Subscale Score Question 7 From Baseline to the End of Treatment Courses 1 and 2 and the Course 2 Week 24 Follow-up Visit|Percentage Change in the Individual UFS-SSS Subscale Score Question 8 From Baseline to the End of Treatment Courses 1 and 2 and the Course 2 Week 24 Follow-up Visit|Percentage Change in Total Uterine Fibroid Volume From Baseline to the End of Treatment Courses 1 and 2","Repros Therapeutics Inc.","Female","18 Years to 47 Years   (Adult)","Phase 2","42","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ZPV-201","February 12, 2015","April 6, 2017","April 6, 2017","December 23, 2014","June 14, 2019","June 25, 2019","Fort Lauderdale, Florida, United States|Sandy Springs, Georgia, United States|Metairie, Louisiana, United States|Saginaw, Michigan, United States|Raleigh, North Carolina, United States|Houston, Texas, United States|Houston, Texas, United States|Richmond, Virginia, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/46/NCT02323646/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/46/NCT02323646/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02323646"
918,"NCT02323048","Acquisition of Responses to a Methamphetamine-associated Cue in Healthy Humans","CAM","Completed","Has Results","Substance Abuse","Drug: methamphetamine|Drug: placebo","Subjective Effects as Assessed by Score on ""Feel Drug"", ""Feel High"", ""Like Drug"", and ""Want More"" Subscales of the Drug Effects Questionnaire","University of Chicago","All","21 Years to 35 Years   (Adult)","Not Applicable","90","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","12-2047","July 2014","November 2014","December 2014","December 23, 2014","July 26, 2018","July 26, 2018",,,"https://ClinicalTrials.gov/show/NCT02323048"
919,"NCT02322879","Protective Effects of Propylene Glycol in Daily Acetaminophen Dosing","APAPII","Completed","Has Results","Acetaminophen Toxicity","Drug: First Treatment Period|Other: Washout|Drug: Second Treatment Period","Rise in Plasma Transaminases: Proportion of Responders.","Beth Israel Deaconess Medical Center|Harvard University","All","20 Years to 40 Years   (Adult)","Phase 4","21","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention","2013P000070","May 2013","August 2016","December 2016","December 23, 2014","September 1, 2017","September 1, 2017","Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT02322879"
920,"NCT02322749","A Study to Assess the Relative Bioavailability of Process Variants of Selumetinib in Healthy Male Volunteers",,"Completed","Has Results","Healthy Volunteers Bioequivalence or Bioavailability Study","Drug: selumetinib 75mg single dose","Bioequivalence of the Free Base Variant of Selumetinib (Treatment B) Compared to the Blue Reference Capsule (Treatment A) [Selumetinib Cmax]|Bioequivalence of the Free Base Variant of Selumetinib (Treatment B) Compared to the Blue Reference Capsule (Treatment A) [Selumetinib AUC]|Bioequivalence of the Free Base Variant of Selumetinib (Treatment B) Compared to the Blue Reference Capsule (Treatment A) [Selumetinib AUC(0-t)]|Relative Bioavailability of the TPGS Capsule Variant (Treatment C) Compared to the Blue Reference Capsule (Treatment A) [Selumetinib Cmax]|Relative Bioavailability of the TPGS Capsule Variant (Treatment C) Compared to the Blue Reference Capsule (Treatment A) [Selumetinib AUC]|Relative Bioavailability of the TPGS Capsule Variant (Treatment C) Compared to the Blue Reference Capsule (Treatment A) [Selumetinib AUC(0-t)]|The PK of the Metabolite N-desmethyl Selumetinib by Assessment of Cmax|The PK of N-desmethyl Selumetinib by Assessment of the AUC(0-t)","AstraZeneca","Male","18 Years to 45 Years   (Adult)","Phase 1","48","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","D1532C00078","February 2015","April 2015","April 2015","December 23, 2014","August 31, 2016","August 31, 2016","Research Site, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02322749"
921,"NCT02321748","Drug-Drug Interaction Study: ASP2151 and Montelukast",,"Completed","Has Results","Healthy","Drug: Montelukast|Drug: ASP2151","Peak Plasma Concentration (Cmax) of Montelukast|Time of Peak Concentration (Tmax) of Montelukast|Area Under the Curve (AUC) of Montelukast|Half-Life (t1/2) of Montelukast|Apparent Volume of Distribution (Vd/f) of Montelukast|Apparent Total Body Clearance (CL/f) of Montelukast|Number of Participants With Serious and Non-Serious Adverse Events","Maruho Europe Limited","Male","18 Years to 45 Years   (Adult)","Phase 1","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","M522101-EU23","December 2014","April 2015","April 2015","December 22, 2014","January 14, 2019","February 27, 2019","Hammersmith Medicines Research Ltd, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02321748"
922,"NCT02320838","Unmodulated 5 Kilohertz Currents Versus TENS: Effect on Pain Thresholds, Tactile Threshold, and Nerve Conduction",,"Completed","Has Results","Pain","Device: 5 KHz|Device: TENS|Device: Sham stimulation","Mechanical Pain Threshold During Treatment|Thermal Pain Threshold During Treatment|Nerve Conduction Latency Immediately After Treatment|Tactile Threshold During Treatment|Habituation to Electrical Stimulation|Perception Current Comfortability|Change Current Density (mA/cm2)|Change From Baseline in Nerve Conduction Amplitude ( µV)|Baseline Mechanical Pain Threshold|Mechanical Pain Threshold Post-treatment 20 Min.|Mechanical Pain Threshold Post-treatment 40 Min.|Baseline Thermal Pain Threshold|Thermal Pain Threshold Post-treatment 20 Min.|Thermal Pain Threshold Post-treatment 40 Min.|Baseline Nerve Conduction Latency|Nerve Conduction Latency Post-treatment 20 Min.|Nerve Conduction Latency Post-treatment 40 Min.|Baseline Tactile Threshold|Tactile Threshold Post-treatment 20 Min.|Tactile Threshold Post-treatment 40 Min.","University of Castilla-La Mancha|Hospital Nacional de Parapléjicos de Toledo","All","18 Years to 30 Years   (Adult)","Not Applicable","38","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","javendano","November 2014","January 2015","February 2015","December 19, 2014","July 31, 2017","July 31, 2017",,,"https://ClinicalTrials.gov/show/NCT02320838"
923,"NCT02320227","A Single-Center, Clinical Study to Evaluate the Safety of a Non-Fragranced Personal Lubricant in Healthy Female Subjects",,"Completed","Has Results","Erythema|Edema","Device: Miami w/o frag Personal lubricant","Number of Participants With Observed Local Erythema|Number of Participants With Observed Local Edema","Church & Dwight Company, Inc.","Female","18 Years to 60 Years   (Adult)","Not Applicable","30","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","ST-7557","December 2014","January 2015","January 2015","December 19, 2014","October 12, 2016","March 10, 2017","Clinical Research Laboratories, Piscataway, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT02320227"
924,"NCT02320214","A Single-Center, Clinical Study to Evaluate the Safety of a Fragranced Personal Lubricant in Healthy Female Subjects",,"Completed","Has Results","Erythema|Edema","Device: Miami w/ frag Personal lubricant","Number of Participants With Observed Local Erythema|Number of Participants With Observed Local Edema","Church & Dwight Company, Inc.","Female","18 Years to 60 Years   (Adult)","Not Applicable","30","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening","ST-7555","December 2014","January 2015","January 2015","December 19, 2014","September 20, 2016","December 6, 2016","Clinical Research Laboratories, Piscataway, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT02320214"
925,"NCT02319668","Antimicrobial Agent for Reducing Bacteria in Aerosols and Oral Cavity",,"Completed","Has Results","Dental Prophylaxis and Implant Surgery","Drug: 0.2% w/v Chlorhexidine digluconate|Drug: Sodium fluoride toothpaste (Aquafresh Mild & Minty)","Total Number of Detectable Plaque Bacteria Sampled 3 Days Post Implant Surgery|Total Number of Detectable Plaque Bacteria Sampled at Implant Surgery (at Pre-rinse, Pre, Mid and Post Implant Surgery) and Post Implant Surgery (at Day 1 and 7)|Area Under the Curve (AUC) for the Total Number of Plaque Bacteria in the Mouth Post Implant Surgery|Total Number of Recoverable Viable Bacteria in the Aerosol Generated During Dental Prophylaxis","GlaxoSmithKline","All","18 Years to 64 Years   (Adult)","Phase 4","38","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Prevention","202200|2014-003222-40|RH02604","February 1, 2015","June 1, 2015","February 29, 2016","December 18, 2014","April 17, 2017","July 19, 2017","GSK Investigational Site, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02319668"
926,"NCT02319148","A Study to Estimate the Effect of CYP3A4 Inhibitors (Itraconazole, Diltiazem or Verapamil) on the Pharmacokinetics of Single Dose PF- 00489791 in Healthy Volunteers",,"Completed","Has Results","Healthy Volunteers","Drug: itraconazole|Drug: diltiazem|Drug: SR verapamil|Drug: PF-00489791","Maximum Observed Plasma Concentration (Cmax) of PF-00489791|Area Under the Plasma Concentration-Time Profile From Time 0 Extrapolated to Infinite Time (AUCinf) of PF-00489791|Area Under the Curve From Time Zero to Last Quantifiable Concentration (AUClast) of PF-00489791|Time to Reach Maximum Observed Plasma Concentration (Tmax) of PF-00489791|Apparent Volume of Distribution (Vz/F) of PF-00489791|Apparent Oral Clearance (CL/F) of PF-00489791|Terminal Elimination Half-Life (t1/2) of PF-00489791|Number of Participants With Laboratory Abnormalities Meeting the Criteria for Potential Clinical Concern|Number of Participants With Potentially Clinically Significant Vital Signs Findings|Number of Participants With Potentially Clinically Significant Electrocardiogram (ECG) Findings|Number of Participants Who Used at Least 1 Concomitant Medication|Number of Participants With Treatment-Emergent Adverse Events (AEs) or Serious Adverse Events (SAEs)","Pfizer","All","18 Years to 55 Years   (Adult)","Phase 1","22","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","A7331022|2014-001979-31","July 2014","October 2014","October 2014","December 18, 2014","September 16, 2016","September 16, 2016","Pfizer Clinical Research Unit, Brussels, Belgium",,"https://ClinicalTrials.gov/show/NCT02319148"
927,"NCT02318979","What is the Optimal Stiffness and Height of a Running-specific Prosthesis?",,"Completed","Has Results","Amputation, Traumatic|Traumatic Amputation of Lower Extremity|Wounds and Injuries","Device: Otto Bock prosthesis|Device: Ossur prosthesis|Device: Freedom Innovations prosthesis","Biomechanics|Metabolic Demand|Top Speed","VA Eastern Colorado Health Care System|United States Department of Defense","All","18 Years to 55 Years   (Adult)","Not Applicable","30","U.S. Fed","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","W81XWH-11-2-0222","October 2013","January 2018","January 2018","December 17, 2014","July 16, 2019","July 30, 2019","University of Colorado Boulder, Boulder, Colorado, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/79/NCT02318979/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02318979"
928,"NCT02317809","Bioequivalence Trial of Liquid Versus Freeze-Dried Pergoveris® in Pituitary Suppressed Healthy Premenopausal Female Subjects",,"Completed","Has Results","Healthy","Drug: Liquid pergoveris|Drug: Freeze-dried pergoveris","Baseline Corrected Area Under the Concentration-Time Curve From Zero to Last Quantifiable Concentration (AUC 0-t,Adj) for Follicle-Stimulating Hormone (FSH)|Baseline Corrected Area Under the Concentration-Time Curve From Zero to Last Quantifiable Concentration (AUC0-t,Adj) for Luteinizing Hormone (LH)|Baseline Corrected Maximum Serum Concentration (Cmax,Adj) for Follicle-Stimulating Hormone (FSH)|Baseline Corrected Maximum Serum Concentration (Cmax,Adj) for Luteinizing Hormone (LH)|Baseline Corrected Area Under the Serum Concentration-time Curve From Time 0 to Infinity (AUC0-inf, Adj) for Follicle-stimulating Hormone (FSH) and Luteinizing Hormone (LH)|Baseline Corrected Area Under the Serum Concentration-time Curve From Time Tlast Extrapolated to Infinity (%AUCextra,Adj) for Follicle-stimulating Hormone (FSH) and Luteinizing Hormone (LH)|Apparent Terminal Elimination Rate Constant (Lambda[z]) for Follicle-stimulating Hormone (FSH) and Luteinizing Hormone (LH)|Time to Reach the Maximum Serum Concentration (Tmax) for Follicle-stimulating Hormone (FSH) and Luteinizing Hormone (LH)|Apparent Terminal Half-life (t1/2) for Follicle-stimulating Hormone (FSH) and Luteinizing Hormone (LH)|Apparent Serum Clearance (CL/F) for Follicle-stimulating Hormone (FSH) and Luteinizing Hormone (LH)|Apparent Volume of Distribution During Terminal Phase (Vz/F) for Follicle-stimulating Hormone (FSH) and Luteinizing Hormone (LH)|Number of Subjects With Adverse Events (AEs) and Serious Adverse Events (SAEs)|Number of Subjects With Treatment Emergent Adverse Events (TEAEs) Related to Laboratory Assessments, Vital Signs or Electrocardiogram Findings|Number of Subjects With Follicle Size Greater Than (>)13 Millimeter|Serum Estradiol Levels|Number of Subjects With Local Tolerability/Injection Site Reactions (ISRs)|Pain Visual Analogue Scale (VAS) Score|Number of Subjects With Anti-Drug Antibodies (ADAs) and Neutralizing Antibodies (NAbs) for Luteinizing Hormone (LH)|Anti-Drug Antibodies (ADAs) and Neutralizing Antibodies (NAbs) Titers for Luteinizing Hormone (LH)|Number of Subjects With Anti-Drug Antibodies (ADAs) and Neutralizing Antibodies (NAbs) for Follicle-stimulating Hormone (FSH)|Number of Subjects With Anti-Drug Antibodies (ADAs) and Neutralizing Antibodies (NAbs) for Follicle-stimulating Hormone (FSH) at Follow-up Visit|Anti-Drug Antibodies (ADAs) Titers for Follicle-stimulating Hormone (FSH)|Anti-Drug Antibodies (ADAs) Titers for Follicle-stimulating Hormone (FSH) at Follow-up Visit|Neutralizing Antibodies (NAbs) Titers for Follicle-stimulating Hormone (FSH)","Merck KGaA, Darmstadt, Germany","Female","18 Years to 40 Years   (Adult)","Phase 1","34","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","200061-006|2014-003506-32","January 31, 2015","October 31, 2015","October 31, 2015","December 16, 2014","December 13, 2016","July 16, 2018","Please contact the Merck KGaA Communication Center, Darmstadt, Germany",,"https://ClinicalTrials.gov/show/NCT02317809"
929,"NCT02314923","Placebo Controlled, Dose Response, Safety and Immunogenicity Study of Vesicular Stomatitis Virus (VSV) Ebola Vaccine in Healthy Adults (V920-004)",,"Completed","Has Results","Ebola Virus","Biological: V920 Vaccine|Other: Placebo","Percentage of Participants With One or More Solicited Injection-site Adverse Events by Severity|Percentage of Participants With One or More Solicited Systemic Adverse Events by Severity|Percentage of Participants With One or More Unsolicited Vaccine-related Adverse Event by Severity|Percentage of Participants With One or More Serious Adverse Event (SAE) by Severity|Geometric Mean Titers (GMTs) of Zaire Ebola Virus- (ZEBOV)-Specific Immunoglobulin-G (IgG) Antibody|Optimum Dose for General Use Prophylaxis With V920|Mean Copies of Vector Ribonucleic Acid (RNA) for Participants With a V920 Polymerase Chain Reaction (PCR) Result ≥ Lower Limit of Quantification (LLOQ)|Percentage of Participants With Seroconversion for ZEBOV-specific IgG|Percentage of Participants With Seroconversion for ZEBOV Neutralizing Antibodies","Merck Sharp & Dohme Corp.|BioProtection Systems Corporation|Department of Health and Human Services","All","18 Years to 60 Years   (Adult)","Phase 1","513","Industry|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","V920-004|NLG0507","December 5, 2014","June 23, 2016","June 23, 2016","December 11, 2014","January 2, 2020","January 2, 2020",,,"https://ClinicalTrials.gov/show/NCT02314923"
930,"NCT02314689","A Dose Escalation Study of Intravenous L-citrulline in Steady-state Sickle Cell Disease",,"Completed","Has Results","Sickle Cell Disease","Drug: Intravenous (IV) citrulline","Number of Participants With Grade 2 or Higher Adverse Event According to NCI Criteria","Suvankar Majumdar|University of Mississippi Medical Center","All","18 Years to 25 Years   (Adult)","Phase 1","4","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SCD-124700.","January 2015","December 2015","December 2015","December 11, 2014","March 7, 2016","September 3, 2019","University of Mississippi Medical Center, Jackson, Mississippi, United States",,"https://ClinicalTrials.gov/show/NCT02314689"
